Food_ID,Name,C_Type,Veg_Non,Describe
55,filo pizza,Italian,veg,"filo pastry, himalayan salt, black pepper, salted butter, tomato sauce, broccoli, button mushroom, green zucchini, yellow zucchini, capsicum yellow, capsicum green, capsicum red, pizza spice mix, mozzarella cheese"
56,chocolate samosa,Snack,veg,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil"
57,fish with jamun sauce,Indian,non-veg,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach"
58,dahi lasooni chicken,Indian,non-veg,"chicken (boneless, cube size), chesse, garlic, ginger garlic paste, coriander, green chilli paste, cream (fresh), curd, kaju paste, salt, black salt , garam masala, chaat masala, butter"
59,pesto fish kebabs,Indian,non-veg,"King fish cut into one inch pieces, paprika cut into one inch pieces, bezel pasto, white wine vinegar, salt, cooking spray"
60,caramelized sesame smoked almonds,Snack,veg,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)"
61,crunchy vegetable dal sattu croquettes,Italian,veg,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)"
62,active charcoal modak,Japanese,veg,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)"
63,flax seed and beetroot modak,Japanese,veg,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder"
64,chocolate prunes gujiyas,Japanese,veg,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom"
65,almond  white chocolate gujiya,Japanese,veg,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery"
66,betel nut popsicle,Dessert,veg,"full cream milk, cream, mascarpone, sugar, paan (crushed), cookie crumble, dark chocolate (melted), caramel sauce"
67,clotted cottage cheese croquettes,Italian,veg,"black pepper, black salt, bread crumb, corn flour, refined oil, jalapeno, jeera powder, maida, cottage cheese, parsley, salt, for thousand island dressing:, mayonnaise, tomato ketchup, minced garlic, celery, black pepper"
68,gajar tart,French,veg,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder"
69,banana and maple ice lollies,Dessert,veg,"Banana, Greek yogurt, heavy cream, pure maple syrup, coconut"
70,shepherds salad (tamatar-kheera salaad),Healthy Food,veg,"1 cucumber peeled and chopped, onion, tomato, green chillies, garlic buds, pasarley, olive oil, lemon juice, salt and pepper"
71,carrot ginger soup,Healthy Food,veg,"Carrots, Olive Oil, Salt, Vegetable Stock, Ginger, Thyme, Onion, Garlic Buds, Pepper (Freshly Picked)"
72,dark night,Beverage,veg,"whisky, honey, cinnamon, star anise, cloves, green apple"
73,hot chocolate,Beverage,veg,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla"
74,slow cooked spiced sangria,Mexican,veg,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy"
75,detox haldi tea,Beverage,veg,"haldi, ginger, black pepper, honey, water"
76,holi special ice tea thandai,Beverage,veg,"ground white pepper (kali mirch), assam tea bags, almonds (badam) - coarsley crushed, poppy seeds (khus-khus), fennel seeds (saunf) (crushed coarsely), cardamom (elaichi) powder, ground sugar, saffron (kesar) strands"
77,grilled lemon margarita,Beverage,veg,"vanilla infused tequila, vanilla liqueur, lemon juice, lemon, lemon"
78,spanish artichoke and spinach dip,Mexican,veg,"spinach, onion, cream, garlic, nutmeg, salt, lime juice, artichoke hearts (cubed), polenta, refined flour, salt, water, butter, flour, salt, pepper (freshly ground)"
79,beetroot and green apple soup,Healthy Food,veg,"beetroots, green apple, onion, olive oil, salt, black peppercorns (crushed), butter, vegetable stock, mixed dried herbs, fresh cream, lemon juice, parsley sprigs, red chilli flakes, soup sticks as required"
80,baba budan no. 7,Beverage,veg,"rum, espresso, sugar syrup/gur (jaggery) syrup, green cardamom pod,"
81,fruit infused tea,Beverage,veg,"chamomile tea bags, orange, berries, blueberries, ginger, mint leaves, boiling water"
82,soya milk,Beverage,veg,"Soybean, hot water"
83,spiced coffee,Beverage,veg,"Freshly ground coffee, cardamom powder, ginger, milk, sugar, cream, chocolate"
84,filter coffee,Beverage,veg,"Coffee powder, water, milk, sugar"
85,garlic and pinenut soup with burnt butter essence,French,veg,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine"
86,roast turkey with cranberry sauce,Healthy Food,non-veg,"whole turkey, butter, onion, celery, crumbled sage and thyme , salt and pepper, garlic minced, balsamic vinegar, sugar, cranberry"
87,roasted spring chicken with root veggies,Healthy Food,non-veg,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley"
88,peri peri chicken satay,Snack,non-veg,"boneless skinless chicken thigh (trimmed), salt and pepper, yogurt, chilli powder, ginger garlic paste, coriander leaves, oil to fry, peri peri sauce, potato fries"
89,chicken popcorn,Chinese,non-veg,"chicken (boneless), corn flour or all purpose flour, egg, bread crumbs, salt, ginger garlic paste, black pepper, onion powder (optional), red chilli powder or paprika or cayenne pepper, oil for deep frying"
90,half roast chicken,Healthy Food,non-veg,"cooking oil, whole chicken (skin on- rinsed and dressed), onions (quartered- skin on), garlic (halved - skin on), carrots (roughly quartered), celery , thyme, dunkleweizen (pour into a glass and keep open at room temperature for an hour or two to make flat), chicken stock, butter, sea salt"
91,chicken biryani,Indian,non-veg,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water"
92,chicken farcha,Indian,non-veg,"boneless chicken thigh (without skin), lemon juice, garlic paste, ginger paste, red chilli powder, coriander powder, garam masala, black pepper (crushed), salt, bread crumbs / semolina, eggs, red chilli powder, oil"
93,buldak (hot and spicy chicken),Japanese,non-veg,"chicken drum sticks/ chicken breast, soy sauce, sugar, traditional corn syrup (substitution honey), cheong ju (clear rice wine similar to japanese sake), green onion, black pepper, olive oil, sesame seeds (optional), for marinating sauce:, gochugaru (red chili pepper flakes), alapenos, korean pear (substitution asian pear), onion, garlic, soy sauce, spicy yellow mustard, sesame oil, sugar, mul yut (substitution honey)"
94,chicken sukka,Indian,non-veg,"chicken (small pieces), onion (thin slices), cardamom, salt, oil, coriander, cumin, mustard, pepper, cloves, cinnamon, bedki chillies, kashmiri chilies, turmeric, onion, garlic, ginger, salt"
95,steamed chicken roulade,French,non-veg,"lamb mince, garlic , salt, paprika powder, pomodaro tomatoes, olive oil, celery, shallots, carrot, black pepper, bay leaf, yellow chilli powder, cilantro, chicken thigh, salt, white pepper powder, garlic paste, white wine vinegar, olive oil, yellow chilli powder, refined oil, fenugreek seeds, white pepper powder, garlic, fenugreek leaves, onion, broken cashew, salt, fresh cream, kasoori methi"
96,methi chicken masala,Indian,non-veg,"boneless chicken, lemon juice, red chilli powder, salt, ginger garlic paste, curd, red chilli powder, salt, coriander powder, oil, onion, oil, bay leaf, green cardamom, black cardamom, cinnamon, ginger garlic paste, tomato, kasoori methi, green chilli, water"
97,restaurant style fried chicken,Chinese,non-veg,"egg, salt, white pepper, maida, salt, red chilli powder, garlic powder, ginger powder, onion powder, oregano, chillil flakes, white pepper, basil, chicken drumsticks, salt, white pepper, bread crumbs (as required)"
98,chicken potli,Chinese,non-veg,"chicken, onion, green chilli, garlic, ginger, salt, aromatic powder, soya sauce, oyster sauce, spring onion, filo sheets"
99,spicy chicken masala,Indian,non-veg,"mustard oil, curry leaves, kalonjee, saunf, garlic, onion, tomatoes, ginger, green chillies, boneless chicken, salt, tomato puree, red chilli powder, cumin powder, black salt, peppercorn (crushed), water, mint, coriander"
100,spicy chicken curry,Indian,non-veg,"oil, ghee, onion paste, garlic paste, ginger paste, turmeric powder, salt, tomato puree, coriander powder, red chilli powder, cumin powder, garam masala, chicken leg pieces, coriander leaves, water"
101,crispy herb chicken,Italian,non-veg,"fresh breadcrumbs, parmesan cheese, lemon rind, fresh parsley leaves, garlic powder, plain flour, egg, milk, chicken breast supremes, vegetable oil, mayonnaise, sour cream, fresh chives (dried if fresh not available), fresh parsley (dried if fresh not available), garlic, red onion (optional), ground black pepper, salt"
102,dahi chicken,Indian,non-veg,"dahi, cumin powder, garlic paste, garam masala, turmeric powder, red chilli powder, salt, boneless chicken, oil, green chilli, onion, tomato"
103,amritsari chicken masala,Indian,non-veg,"chicken, ginger garlic paste, curd, lemon juice, vinegar, coriander powder, cumin powder, red chilli powder, salt, onion, butter, red chilli powder, coriander powder, cumin powder, ginger, water, salt, green chilli, tomatoes, sugar, butter , cream"
104,chilli chicken,Chinese,non-veg,"boneless chicken, salt, cornflour, black pepper, egg, soy sauce, red chilli sauce, garlic, green chillies, green chilli sauce, vinegar, onion, capsicum, black pepper, salt"
105,chicken tenders,Snack,non-veg,"chicken breast (cut into strips), salt, garlic paste, ginger paste, green chilli paste, oats, refined flour, salt, freshly ground black pepper, fried mixed herbs (italian herb), garlic powder"
106,chicken nimbu dhaniya shorba,Beverage,non-veg,"water, chicken (diced)), ginger garlic paste, coriander, lemon, cream, butter, turmeric powder, green chilli paste, cornflour, salt"
107,garlic soya chicken,Healthy Food,non-veg,"chicken thigh/breast (cut crosswise into 1/2-inch-thin strips), sesame oil (toasted), white pepper (finely ground), ginger juice, peanut oil or vegetable oil (divided), garlic cloves (minced), ginger, red chilli flakes, red onion , snow peas (trimmed), red bell pepper (cut into thin strips), rice vinegar, soy sauce, dark soy sauce, chinese rice wine, brown sugar, cornflour"
108,cauliflower and chicken biryani,Indian,non-veg,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt"
109,chicken quinoa biryani,Healthy Food,non-veg,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd, chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom"
110,chicken and mushroom lasagna,Italian,non-veg,"chicken, salt, crush black pepper, garlic cloves (minced), olive oil, fresh thyme, button mushroom, onion, low fat milk, basil, basil-tomato sauce"
111,plum and cherry roasted chicken,Healthy Food,non-veg,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries"
112,chicken roulade,French,non-veg,"chicken breasts, olives, jalapenos, bell peppers(all 3), thyme dried, white wine, salt, black pepper (crushed to taste), egg, olive oil, mozerella cheese, processed cheese"
113,sticky rum chicken wings,Snack,non-veg,"chicken wings without skin, hung curd, chilli powder, sweet paprika powder, english mustard paste, garlic paste, salt, garlic, rum, bbq sauce"
114,chicken dragon,Chinese,non-veg,"Chicken (boneless and cut into small pieces), eggs (lightly whipped), maida, garlic paste, ginger paste, salt, water, oil"
115,chicken palwal,Indian,non-veg,"Chicken, Onion, Tomato, Green Chilli, Cumin Powder, Coriander Powder, Green Coriander, Curd, Ginger Garlic, Red Chilli Powder, Salt, Oil"
116,pan seared thigh of chicken,Mexican,non-veg,"Chicken Thai, Salt, Pepper, Lemon, Fresh Thyme, Barley, Brockley, Mushroom, Extra Virgin Olive Oil, Cherry Tomato"
117,chicken in mahalak sauce,Indian,non-veg,"Salt, sugar, seasonings, oil, corn flour, chicken leg, fresh chilli, garlic, ginger, onion, red chili paste, tomato catchup, paprika, yellow capsicum, vegetable stock"
118,grilled kasundi honey chicken with sweet potato mash,Indian,non-veg,"Chicken breast, kasundi (Bengali mustard sauce), sweet potato, red and yellow capsicum, broccoli, garlic buds, refined oil, salt, butter, cream, green onion, honey, ginger and garlic paste"
119,chicken dong style,Chinese,non-veg,"Oil, chicken breast, garlic, ginger, tomato catchup, oyster sauce, shitake mushrooms, bomb shoots (boiled), salt, sugar, broth powder, shocking wine, potato starch, sesame oil, green onions"
120,microwave tandoori chicken,Indian,non-veg,"Chicken (sliced), garlic paste, ginger paste, Hung curd, salt, garam masala, coriander powder, pepper powder, cream, oil, for garnishing:, lemon pieces, onion rings"
121,methi malai cranberry chicken,Indian,non-veg,"Chicken (sliced ??into large pieces), salt, cranberry puree, red chilli powder, garam masala, coriander powder, cumin powder, chaat masala, corn flour, fenugreek leaves, gram flour, ginger, garlic, cream, Greek yogurt, butter"
122,southern fried chicken tenders,Snack,non-veg,"Chicken breast (cut 20 strips, 20 grams), all purpose flour, salt, hot red chillies, eggs, bread crumbles, white cabbage slaw, pasarley sprig, honey-mustard dip, green bell pepper"
123,thai style chicken tikka,Thai,non-veg,"Chicken Thais, Thai Ginger, Lemon Leaves, Lemongrass, Coconut Milk Powder, Refined Oil, Red Curry Paste, Peanut Butter, Bezel Leaves, Lotus Stem, Yellow Butter, Chaat Masala"
124,chicken gilafi kebab,Indian,non-veg,"Chicken Mince, Onion, Tomato, Green Capsicum, Green Coriander, Green Chilli, Salt, Oil, Cashew, Almond, Mint, Red Chilli Powder, Ginger Garlic Paste, Cumin Powder, Lemon Juice, Fresh Cream, Kewda Water"
125,cheese chicken kebabs,Indian,non-veg,"Chicken Thais, Garlic Paste, Garlic Paste, Yellow Chilli Powder, Cheese, Curd, Gram Flour, Green Cardamom Powder, Yellow Chilli Powder, Mace Powder, Nutmeg Powder, Rock Salt, Green Coriander, Oil"
126,andhra crab meat masala,Indian,non-veg,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato"
127,cajun spiced turkey wrapped with bacon,Mexican,non-veg,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))"
128,thai lamb balls,Thai,non-veg,"lamb (minced), couscous, scallion, garlic, egg, parsley, olive oil, mint, ao nori herb, salt, five spice, cinnamon powder"
129,oyster lamb,Thai,non-veg,"vegetable oil, garlic, ginger, lamb, stock, oyster sauce, dry sherry, sugar, celery, salt, bokchoy, shitake mushroom"
130,chicken shami kebab,Indian,non-veg,"oil, cumin seeds, cloves, black peppercorns, cinnamon, coriander seeds, ajwain, red chilli whole, chilli flakes, boneless chicken, salt, water, ginger, green chilli, garlic, coriander leaves , mint leaves , egg"
131,balti meat,Mexican,non-veg,"refined oil, black cardamoms, green cardamoms, mace, clove, cinnamon stick, black pepper corn, ginger garlic paste, ginger, green chilies, mutton curry cut, brown onion paste, salt, kashmiri red chili powder, tomato puree, garam masala powder, coriander powder, cumin powder"
132,coffee marinated mutton chops,Thai,non-veg,"mutton chops, espresso, honey, balsamic vinegar, rosemary, pink peppercorns (crushed), olive oil, salt"
133,sali boti (parsi meat dish),Indian,non-veg,"mutton (wash and cut into very small cubes), ghee or oil, tomatoes, onions, green chillies, coriander leaves, chilli powder, turmeric powder, ginger-garlic paste, water, vinegar, jaggery, salt, potatoes, oil"
134,braised lamb shanks,Thai,non-veg,"Lang Shanks, Olive Oil, Onion, Carrots, Celery Stick, Garlic, White Wine, Lamb Stock, White Wine, Rosemary, Tomata Puree"
135,bengali lamb curry,Indian,non-veg,"Lamb pieces, yogurt, turmeric powder, castor sugar, red chili powder, mustard oil, onion, ginger paste, garlic paste, green chillies, mustard seeds, almonds"
136,malabari fish curry,Indian,non-veg,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots"
137,japanese fish stew,Japanese,non-veg,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt"
138,malabar fish curry,Indian,non-veg,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts"
139,surmai curry with lobster butter rice,Thai,veg,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai"
140,seared salmon in tabasco butter,Thai,non-veg,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt"
